KF RX SH TS
IR IV JQ KP
EF GH IJ DW
KGR LFQ KFR LGQ
WNE WNB WNE WMC
MWG LVF LWG WMX
NHR MHQ MIP NIR
XVZ ZYA YXW VWX
WV WX VW XW
LM MN MP OM
FLR FIS FKO FIL
KVIJUJ JUUVK ITVTL KUUVJ
HNE PGI STN CAT
DXWC XCBY VDEW FUVE
XBZ TGU MCO FUT
15 12 18 17
80 100 64 84
99 88 121 101
8 9 64 16
28 36 54 34
-1 1 0 2
30 35 23 40
49 79 89 59
124 125 93 103
13 8 4 10
66 26 29 63
2 3 4 8
5 4 16 8
97 144 96 100
40 44 42 36
IARYN ARINY NAIRY RINAY
DEHLI EFIMJ HLDEI EFMIJ
QFO CDP RST NOT
Energy Power Terminals Cells
Manufacture Destruction Build Construction
Museum Statue Chisel Stone
String Heap Collection Bundle
Plane Triangle Line Point
Traffic Goods Speed Road
Round Air Spokes Cars
